411. MAZOWIECKIE; Tłuszcz; gmina miejsko-wiejska
412. MAZOWIECKIE; Tłuszcz; miasto
413. MAZOWIECKIE; Tłuszcz; obszar wiejski
414. MAZOWIECKIE; Wołomin; gmina miejsko-wiejska
415. MAZOWIECKIE; Wołomin; miasto
416. MAZOWIECKIE; Wołomin; obszar wiejski
417. MAZOWIECKIE; wyszkowski; powiat
418. MAZOWIECKIE; Brańszczyk; gmina wiejska
419. MAZOWIECKIE; Długosiodło; gmina wiejska
420. MAZOWIECKIE; Rząśnik; gmina wiejska
421. MAZOWIECKIE; Somianka; gmina wiejska
422. MAZOWIECKIE; Wyszków; gmina miejsko-wiejska
423. MAZOWIECKIE; Wyszków; miasto
424. MAZOWIECKIE; Wyszków; obszar wiejski
425. MAZOWIECKIE; Zabrodzie; gmina wiejska
426. MAZOWIECKIE; zwoleński; powiat
427. MAZOWIECKIE; Kazanów; gmina wiejska
428. MAZOWIECKIE; Policzna; gmina wiejska
429. MAZOWIECKIE; Przyłęk; gmina wiejska
430. MAZOWIECKIE; Tczów; gmina wiejska
431. MAZOWIECKIE; Zwoleń; gmina miejsko-wiejska
432. MAZOWIECKIE; Zwoleń; miasto
433. MAZOWIECKIE; Zwoleń; obszar wiejski
434. MAZOWIECKIE; żuromiński; powiat
435. MAZOWIECKIE; Bieżuń; gmina miejsko-wiejska
436. MAZOWIECKIE; Bieżuń; miasto
437. MAZOWIECKIE; Bieżuń; obszar wiejski
438. MAZOWIECKIE; Kuczbork-Osada; gmina wiejska
439. MAZOWIECKIE; Lubowidz; gmina miejsko-wiejska
440. MAZOWIECKIE; Lubowidz; miasto
441. MAZOWIECKIE; Lubowidz; obszar wiejski
442. MAZOWIECKIE; Lutocin; gmina wiejska
443. MAZOWIECKIE; Siemiątkowo; gmina wiejska
444. MAZOWIECKIE; Żuromin; gmina miejsko-wiejska
445. MAZOWIECKIE; Żuromin; miasto
446. MAZOWIECKIE; Żuromin; obszar wiejski
447. MAZOWIECKIE; żyrardowski; powiat
448. MAZOWIECKIE; Żyrardów; gmina miejska
449. MAZOWIECKIE; Mszczonów; gmina miejsko-wiejska
450. MAZOWIECKIE; Mszczonów; miasto
451. MAZOWIECKIE; Mszczonów; obszar wiejski
452. MAZOWIECKIE; Puszcza Mariańska; gmina wiejska
453. MAZOWIECKIE; Radziejowice; gmina wiejska
454. MAZOWIECKIE; Wiskitki; gmina wiejska
455. MAZOWIECKIE; Ostrołęka; miasto na prawach powiatu
456. MAZOWIECKIE; Ostrołęka; gmina miejska
457. MAZOWIECKIE; Płock; miasto na prawach powiatu
458. MAZOWIECKIE; Płock; gmina miejska
459. MAZOWIECKIE; Radom; miasto na prawach powiatu
460. MAZOWIECKIE; Radom; gmina miejska
461. MAZOWIECKIE; Siedlce; miasto na prawach powiatu
462. MAZOWIECKIE; Siedlce; gmina miejska
463. MAZOWIECKIE; Warszawa; miasto stołeczne
464. MAZOWIECKIE; Warszawa; na prawach powiatu
